pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
SOL/USDT	2025-04-02 20:00:00+00:00	B	0.6913194444444445	0.1792819745699328	2025-04-02 20:00:00+00:00	[0.50,0.75)
XRP/USDT	2025-04-04 13:45:00+00:00	B	0.8947916666666667	0.04640075525135712	2025-04-04 12:00:00+00:00	[0.75,1.00]
BTC/USDT	2025-04-07 13:45:00+00:00	B	0.8736111111111111	0.05015448768443556	2025-04-07 12:00:00+00:00	[0.75,1.00]
SOL/USDT	2025-04-09 07:00:00+00:00	B	0.8638888888888889	0.17377963737796373	2025-04-09 04:00:00+00:00	[0.75,1.00]
ADA/USDT	2025-04-09 17:15:00+00:00	B	0.965625	0.0992478744277305	2025-04-09 16:00:00+00:00	[0.75,1.00]
AVAX/USDT	2025-04-11 12:30:00+00:00	B	0.7399305555555555	0.03815995818086777	2025-04-11 12:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-04-11 17:30:00+00:00	B	0.8697916666666666	0.031091564744539744	2025-04-11 16:00:00+00:00	[0.75,1.00]
ADA/USDT	2025-04-12 13:30:00+00:00	B	0.6951388888888889	0.04328404189772029	2025-04-12 12:00:00+00:00	[0.50,0.75)
SOL/USDT	2025-04-13 17:15:00+00:00	B	0.6545138888888888	0.0824372759856631	2025-04-13 16:00:00+00:00	[0.50,0.75)
LINK/USDT	2025-04-14 00:15:00+00:00	B	0.6979166666666666	0.05663304887509701	2025-04-14 00:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-04-15 04:45:00+00:00	A	0.29965277777777777	0.025208942039817953	2025-04-15 04:00:00+00:00	[0.25,0.50)
XRP/USDT	2025-04-15 09:00:00+00:00	A	0.26944444444444443	0.06878939861040823	2025-04-15 08:00:00+00:00	[0.25,0.50)
BNB/USDT	2025-04-16 11:45:00+00:00	A	0.18229166666666666	0.018038447662732566	2025-04-16 08:00:00+00:00	[0.10,0.25)
ETH/USDT	2025-04-16 15:15:00+00:00	B	0.6222222222222222	0.04656667331074346	2025-04-16 12:00:00+00:00	[0.50,0.75)
SOL/USDT	2025-04-16 19:45:00+00:00	B	0.846875	0.05058512646281608	2025-04-16 16:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-04-17 09:00:00+00:00	A	0.03263888888888889	0.015306995040191628	2025-04-17 08:00:00+00:00	[0.00,0.05)
ADA/USDT	2025-04-18 22:00:00+00:00	A	0.16319444444444445	0.025011872724394545	2025-04-18 20:00:00+00:00	[0.10,0.25)
ETH/USDT	2025-04-19 04:15:00+00:00	A	0.3958333333333333	0.02342251764136365	2025-04-19 04:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-04-19 09:00:00+00:00	B	0.5347222222222222	0.04580152671755718	2025-04-19 08:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-04-19 15:15:00+00:00	A	0.26319444444444445	0.04111000744971444	2025-04-19 12:00:00+00:00	[0.25,0.50)
LINK/USDT	2025-04-20 14:45:00+00:00	B	0.4979166666666667	0.04939209726443758	2025-04-20 12:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-04-21 00:15:00+00:00	B	0.66875	0.02608689298125685	2025-04-21 00:00:00+00:00	[0.50,0.75)
LTC/USDT	2025-04-21 07:00:00+00:00	A	0.24479166666666666	0.056092357886811384	2025-04-21 04:00:00+00:00	[0.10,0.25)
AVAX/USDT	2025-04-21 08:00:00+00:00	B	0.90625	0.06851940584571153	2025-04-21 08:00:00+00:00	[0.75,1.00]
DOGE/USDT	2025-04-22 07:15:00+00:00	A	0.365625	0.1369292062519154	2025-04-22 04:00:00+00:00	[0.25,0.50)
LINK/USDT	2025-04-22 13:00:00+00:00	B	0.5836805555555555	0.1261922230374175	2025-04-22 12:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-04-22 21:45:00+00:00	B	0.7420138888888889	0.02967154231207462	2025-04-22 20:00:00+00:00	[0.50,0.75)
DOGE/USDT	2025-04-23 00:15:00+00:00	B	0.9600694444444444	0.05756731662024138	2025-04-23 00:00:00+00:00	[0.75,1.00]
XRP/USDT	2025-04-24 13:30:00+00:00	B	0.5354166666666667	0.037944591752765724	2025-04-24 12:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-04-24 23:30:00+00:00	A	0.14930555555555555	0.0309113110550797	2025-04-24 20:00:00+00:00	[0.10,0.25)
SOL/USDT	2025-04-25 01:00:00+00:00	B	0.48333333333333334	0.046373983739837366	2025-04-25 00:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-04-25 07:45:00+00:00	A	0.26006944444444446	0.023655396595965446	2025-04-25 04:00:00+00:00	[0.25,0.50)
SOL/USDT	2025-04-25 12:00:00+00:00	A	0.24409722222222222	0.05330339961513792	2025-04-25 12:00:00+00:00	[0.10,0.25)
XRP/USDT	2025-04-26 06:30:00+00:00	A	0.259375	0.040656269719642944	2025-04-26 04:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-04-26 08:15:00+00:00	A	0.4777777777777778	0.04295012032378034	2025-04-26 08:00:00+00:00	[0.25,0.50)
ADA/USDT	2025-04-27 00:15:00+00:00	A	0.1798611111111111	0.038063252169045624	2025-04-27 00:00:00+00:00	[0.10,0.25)
XRP/USDT	2025-04-27 12:30:00+00:00	A	0.6111111111111112	0.06819502167404035	2025-04-27 12:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-04-28 10:30:00+00:00	A	0.2482638888888889	0.0539916935856022	2025-04-28 08:00:00+00:00	[0.10,0.25)
ETH/USDT	2025-04-29 06:15:00+00:00	A	0.228125	0.03447800455515542	2025-04-29 04:00:00+00:00	[0.10,0.25)
BTC/USDT	2025-04-29 16:30:00+00:00	A	0.1857638888888889	0.02669998327813167	2025-04-29 16:00:00+00:00	[0.10,0.25)
LTC/USDT	2025-05-01 07:30:00+00:00	A	0.0954861111111111	0.07227781047675104	2025-05-01 04:00:00+00:00	[0.05,0.10)
ETH/USDT	2025-05-01 10:15:00+00:00	A	0.44340277777777776	0.03267107928044354	2025-05-01 08:00:00+00:00	[0.25,0.50)
DOGE/USDT	2025-05-01 14:45:00+00:00	B	0.43333333333333335	0.029094115054000478	2025-05-01 12:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-05-01 16:00:00+00:00	B	0.6892361111111112	0.03510351035103516	2025-05-01 16:00:00+00:00	[0.50,0.75)
LTC/USDT	2025-05-01 20:30:00+00:00	B	0.7409722222222223	0.04094732182381588	2025-05-01 20:00:00+00:00	[0.50,0.75)
AVAX/USDT	2025-05-02 00:15:00+00:00	A	0.1875	0.055606198723792265	2025-05-02 00:00:00+00:00	[0.10,0.25)
BNB/USDT	2025-05-02 11:00:00+00:00	B	0.37777777777777777	0.01109574663045827	2025-05-02 08:00:00+00:00	[0.25,0.50)
LINK/USDT	2025-05-02 14:15:00+00:00	A	0.08368055555555555	0.05016949152542374	2025-05-02 12:00:00+00:00	[0.05,0.10)
ETH/USDT	2025-05-02 16:00:00+00:00	A	0.4201388888888889	0.027053882181068134	2025-05-02 16:00:00+00:00	[0.25,0.50)
ADA/USDT	2025-05-03 15:00:00+00:00	B	0.896875	0.06459165404214288	2025-05-03 12:00:00+00:00	[0.75,1.00]
SOL/USDT	2025-05-06 22:00:00+00:00	B	0.328125	0.03333790643435303	2025-05-06 20:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-05-07 00:15:00+00:00	B	0.9034722222222222	0.03429090928886784	2025-05-07 00:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-05-07 12:00:00+00:00	A	0.25972222222222224	0.032864235688685774	2025-05-07 12:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-05-08 00:45:00+00:00	B	0.7024305555555556	0.06695059149528568	2025-05-08 00:00:00+00:00	[0.50,0.75)
