cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W7.0_N80_hold	30	1	186	-0.0504862894872181	-0.019490584804349766	-0.050125300302238045	auto側(負)	0.9301075268817204
W7.0_N80_recover	3	1	186	-0.0032262603314355187	-0.00041830505623603666	-0.003193319757544379	auto側(負)	0.9247311827956989
W7.0_N80_recover	5	1	186	-0.00537710055239253	-0.0006971750937267256	-0.005322199595907302	auto側(負)	0.9247311827956989
W7.0_N80_recover	10	1	186	-0.010754201104785073	-0.0013943501874534583	-0.010644399191814605	auto側(負)	0.9247311827956989
W7.0_N80_recover	15	1	186	-0.0161313016571776	-0.002091525281180188	-0.015966598787721904	auto側(負)	0.9247311827956989
W7.0_N80_recover	30	1	186	-0.03773917599641245	-0.009982529529136962	-0.03741408174238011	auto側(負)	0.9247311827956989
W10.0_N40_close	3	1	186	-0.0014974686155454927	-0.0006727871045224764	-0.001496118024819686	auto側(負)	1.0
W10.0_N40_close	5	1	186	-0.002495781025909151	-0.0011213118408707865	-0.0024935300413661383	auto側(負)	1.0
W10.0_N40_close	10	1	186	-0.004991562051818304	-0.0022426236817415708	-0.004987060082732278	auto側(負)	1.0
W10.0_N40_close	15	1	186	-0.0074873430777274525	-0.0033639355226123585	-0.007480590124098416	auto側(負)	1.0
W10.0_N40_close	30	1	186	-0.014974686155454905	-0.006727871045224712	-0.014961180248196829	auto側(負)	1.0
W10.0_N40_hold	3	1	186	-0.0007703169428275821	0.0002878212160197928	-0.000770318184763066	auto側(負)	0.9946236559139785
W10.0_N40_hold	3	7	186	-0.008744490835781167	-0.004790695809571472	-0.008741795553523106	auto側(負)	0.967741935483871
W10.0_N40_hold	5	1	186	-0.0012838615713793014	0.000479702026699661	-0.0012838636412717726	auto側(負)	0.9946236559139785
W10.0_N40_hold	10	1	186	-0.002567723142758603	0.000959404053399325	-0.002567727282543546	auto側(負)	0.9946236559139785
W10.0_N40_hold	15	1	186	-0.0038515847141379032	0.0014391060800989848	-0.0038515909238153183	auto側(負)	0.9946236559139785
W10.0_N40_recover	3	1	186	-0.0011479312993418868	-0.0003364802533977375	-0.0011465807086160802	auto側(負)	1.0
W10.0_N40_recover	5	1	186	-0.0019132188322364772	-0.0005608004223295541	-0.0019109678476934644	auto側(負)	1.0
W10.0_N40_recover	10	1	186	-0.003826437664472953	-0.0011216008446591065	-0.0038219356953869276	auto側(負)	1.0
W10.0_N40_recover	15	1	186	-0.005739656496709429	-0.0016824012669886606	-0.0057329035430803916	auto側(負)	1.0
W10.0_N80_close	3	1	186	-0.002223287621949805	-0.0003319664844083851	-0.002208166447050617	auto側(負)	0.956989247311828
W10.0_N80_close	3	7	186	-0.012218863971540195	-0.005928340560267413	-0.012181140128294217	auto側(負)	0.8870967741935484
W10.0_N80_close	5	1	186	-0.0037054793699163534	-0.0005532774740139734	-0.003680277411751039	auto側(負)	0.956989247311828
W10.0_N80_close	5	7	186	-0.020364773285900344	-0.009880567600445686	-0.020301900213823717	auto側(負)	0.8870967741935484
W10.0_N80_close	10	1	186	-0.007410958739832719	-0.001106554948027941	-0.007360554823502078	auto側(負)	0.956989247311828
W10.0_N80_close	10	7	186	-0.04072954657180067	-0.019761135200891393	-0.04060380042764743	auto側(負)	0.8870967741935484
W10.0_N80_close	15	1	186	-0.011116438109749069	-0.0016598324220419083	-0.011040832235253116	auto側(負)	0.956989247311828
W10.0_N80_close	15	7	186	-0.061094319857701015	-0.029641702801337086	-0.06090570064147113	auto側(負)	0.8870967741935484
