half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	80	recover	auto	5	30	0.02	0.00011	12470	-0.0160528	-0.129784	0.00226863	0.00353414	0.00550966	0.0103824	-0.0211977	-0.0113286	0.00376905			-0.00440834	main
1.5	80	recover	auto	10	1	0.02	0.00011	12470	-0.0213643	-0.13931	-0.0213472	0.0037934	0.00741845	0.0144062	-0.0239395	-0.0189009	0.000801925			-0.00800692	main
1.5	80	recover	auto	10	7	0.02	0.00011	12470	-0.0271827	-0.24358	0.00362125	0.00638311	0.0102282	0.0193745	-0.0326737	-0.0214271	0.00681636			-0.00879835	main
1.5	80	recover	auto	10	30	0.02	0.00011	12470	-0.0327694	-0.285319	0.00450743	0.0070479	0.0109813	0.0207021	-0.0421141	-0.0239575	0.0232558			-0.0088158	main
1.5	80	recover	auto	15	1	0.02	0.00011	12470	-0.0325212	-0.209282	-0.0320467	0.00568912	0.0111259	0.0216092	-0.0365603	-0.0286552	0.00400962			-0.0120103	main
1.5	80	recover	auto	15	7	0.02	0.00011	12470	-0.0430477	-0.384031	0.00540741	0.00954934	0.0153027	0.0290017	-0.0516891	-0.0339621	0.0224539			-0.0131964	main
1.5	80	recover	auto	15	30	0.02	0.00011	12470	-0.0490455	-0.698741	0.0066404	0.0104664	0.0163313	0.0307004	-0.0610549	-0.0374951	0.0477947			-0.0132196	main
1.5	80	recover	auto	30	1	0.02	0.00011	12470	-0.06642	-0.436797	-0.0649824	0.0113442	0.0222237	0.0431986	-0.0736554	-0.0592999	0.0260626			-0.0240194	main
1.5	80	recover	auto	30	7	0.02	0.00011	12470	-0.0889556	-1	0.0102136	0.0187227	0.0301375	0.0572095	-0.102639	-0.0751677	0.0878909			-0.0263759	main
1.5	80	recover	auto	30	30	0.02	0.00011	12470	-0.0963113	-1	0.0120001	0.01983	0.031588	0.0593114	-0.11164	-0.080819	0.114034			-0.0264	main
