ts	pair	grade	ret_24h	net_24h	mfe_24h	mae_24h
2026-06-22T13:30:00+00:00	BTC/USDT	B	-0.046017428527748	-0.048017428527748	0.0032537838251032	-0.0530805687203791
2026-06-28T08:30:00+00:00	BTC/USDT	B	-0.0095850397878159	-0.0115850397878159	0.0005391285043145	-0.0256313502480834
2026-06-29T03:00:00+00:00	BTC/USDT	B	-0.001729393065862	-0.003729393065862	0.0129468661187783	-0.0165441436871153
2026-06-29T12:00:00+00:00	BTC/USDT	A	-0.0273950047146946	-0.0293950047146946	0.0016345263656172	-0.0275571882322672
2026-07-01T15:15:00+00:00	BTC/USDT	B	0.0233311369336381	0.0213311369336381	0.0313240642392194	-0.011984914149733
2026-07-04T15:00:00+00:00	BTC/USDT	A	-0.0002844375116891	-0.0022844375116891	0.0101270577748773	-0.0061942754364253
2026-07-06T15:45:00+00:00	BTC/USDT	B			0.0181603934662741	-0.0117392162336626
2026-05-01T13:00:00+00:00	DOGE/USDT	B	-0.020952380952381	-0.022952380952381	0.0027210884353741	-0.0282086167800453
2026-05-10T09:00:00+00:00	DOGE/USDT	A	0.0088105726872247	0.0068105726872247	0.0357929515418502	-0.02321953010279
2026-05-13T04:30:00+00:00	DOGE/USDT	B	0.00462715785727	0.00262715785727	0.0274070119238298	-0.0242925787506673
2026-05-26T14:15:00+00:00	DOGE/USDT	B	-0.0259327099199845	-0.0279327099199845	0.0005784247565794	-0.033259423503326
2026-05-29T15:15:00+00:00	DOGE/USDT	B	0.0101705055339513	0.0081705055339513	0.0153554691394954	-0.0108684814039287
2026-06-01T03:00:00+00:00	DOGE/USDT	B	-0.0062185371631624	-0.0082185371631624	0.002665087355641	-0.0346461356233342
2026-06-07T22:00:00+00:00	DOGE/USDT	B	0.0024263431542461	0.0004263431542461	0.0116695551704217	-0.0253032928942806
2026-06-09T04:30:00+00:00	DOGE/USDT	B	-0.0313116084889251	-0.0333116084889251	0.0060303838571262	-0.0356024585411109
2026-06-13T21:30:00+00:00	DOGE/USDT	A	0.002829975096219	0.000829975096219	0.0052071541770433	-0.0301109350237717
2026-06-15T13:15:00+00:00	DOGE/USDT	B	-0.0362414628772858	-0.0382414628772858	0.0006609385327165	-0.0447235073804802
2026-06-20T05:00:00+00:00	DOGE/USDT	A	-0.0077344121846739	-0.0097344121846739	0.0035697287006186	-0.0168967158495955
2026-06-21T17:00:00+00:00	DOGE/USDT	A	-0.0043015891982315	-0.0063015891982315	0.0167284024375671	-0.0185207312701636
2026-06-22T01:15:00+00:00	DOGE/USDT	B	-0.0172577957629135	-0.0192577957629135	0.0127350630802189	-0.0254701261604379
2026-06-29T12:00:00+00:00	DOGE/USDT	B	-0.0439322033898303	-0.0459322033898303	0.0073220338983051	-0.0459661016949151
2026-06-30T18:15:00+00:00	DOGE/USDT	B	0.0148261050297908	0.0128261050297908	0.0202300124705556	-0.0231398087848136
2026-07-02T09:30:00+00:00	DOGE/USDT	B	0.0186369201469187	0.0166369201469187	0.0282954700040809	-0.0025846823561421
2026-07-03T15:00:00+00:00	DOGE/USDT	B	0.015472630347159	0.013472630347159	0.0205434923937068	-0.0100117019893383
2026-07-05T12:30:00+00:00	DOGE/USDT	A	-0.0089098532494759	-0.0109098532494759	0.0328878406708594	-0.0107442348008386
2026-05-01T03:15:00+00:00	ETH/USDT	A	0.0089455694485169	0.0069455694485169	0.0176591843076157	-0.0056194281662894
2026-05-01T12:15:00+00:00	ETH/USDT	A	0.0001128080527592	-0.0018871919472407	0.0088858035404373	-0.0112027073932663
2026-05-02T21:30:00+00:00	ETH/USDT	A	-0.003534737493128	-0.005534737493128	0.006884792468389	-0.0131983576140736
2026-05-03T22:00:00+00:00	ETH/USDT	A	0.0068486732825077	0.0048486732825077	0.0217343157715403	-0.0164657779292134
2026-05-04T03:00:00+00:00	ETH/USDT	B	-0.0052069795326296	-0.0072069795326296	0.0057310314179583	-0.0297703395017734
2026-05-04T14:45:00+00:00	ETH/USDT	B	0.0031120856877793	0.0011120856877793	0.0118495403559077	-0.0149236737792021
2026-05-06T09:30:00+00:00	ETH/USDT	B	-0.0370218714843492	-0.0390218714843492	0.0024733637747333	-0.0429612533915692
2026-05-09T17:00:00+00:00	ETH/USDT	B	0.0075782932962571	0.0055782932962571	0.0105821468111948	-0.0051537543877718
2026-05-10T15:30:00+00:00	ETH/USDT	A	-0.0058973493955323	-0.0078973493955323	0.0174230163169963	-0.0161120197460851
2026-05-20T05:00:00+00:00	ETH/USDT	B	0.0083498463232905	0.0063498463232904	0.0154900474915158	-0.0050456794016728
2026-05-20T15:15:00+00:00	ETH/USDT	B	-0.0014633074488424	-0.0034633074488424	0.0086536168939548	-0.0158205508207143
2026-05-21T17:15:00+00:00	ETH/USDT	B	-0.0087128620657539	-0.0107128620657539	0.0029570643568965	-0.0162661823600634
2026-05-23T20:30:00+00:00	ETH/USDT	B	-0.0165822612515781	-0.0185822612515781	0.0090866849088748	-0.0239698862756326
2026-05-26T10:15:00+00:00	ETH/USDT	A	-0.0168623809097294	-0.0188623809097294	0.0090510962668941	-0.031221568008146
2026-05-29T15:00:00+00:00	ETH/USDT	B	0.0054902620869925	0.0034902620869925	0.0131934611919164	-0.0088814519243146
2026-06-07T08:45:00+00:00	ETH/USDT	B	0.0120754257166357	0.0100754257166357	0.0490937338166754	-0.022755658451884
